"id","id_3","id_4","id_5","id_6","id_8","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_28","id_29","id_30","id_31","id_32","id_58","id_456","id_627","id_986","id_1065","id_1066","id_1068","id_1069","id_1070","id_1071","id_1072","id_1074","id_1075","id_1076","id_1077","id_1078","id_1079","id_1080","id_1081","id_1082","id_1083","id_1084","id_1085","id_1086","id_1087","id_1088","id_1089","id_1090","id_1091","id_1092","id_1093","id_1094","id_1095","id_1096","id_1097"
"id_1076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_1077",0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,181,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,22,176,34,8,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_1078",0,0,0,0,0,0,0,0,0,0,0,0,67,286,0,0,0,533,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,189,246,107,99,97,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_1079",0,0,0,122,0,0,167,0,0,0,1330,0,0,226,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,55,1149,169,375,286,746,288,571,181,206,91,0,0,0,10,0,0,0
"id_1080",0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,83,0,215,133,152,149,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_1081",0,0,19,132,0,0,60,0,0,0,1059,0,0,227,0,0,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,970,276,0,0,394,360,1361,922,500,206,62,5,0,0,0,0,0,0,0
"id_1082",0,0,0,0,0,0,0,0,0,0,149,0,0,367,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,127,139,108,0,273,82,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_1083",0,0,0,0,0,0,33,0,0,0,411,0,0,171,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,232,164,418,323,0,374,275,77,139,0,0,0,0,0,0,0,0,0,0
"id_1084",0,0,0,0,0,0,0,0,0,0,50,0,0,76,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,242,148,287,137,467,0,185,79,89,0,0,0,0,0,0,0,0,0,0
"id_1085",96,0,602,0,0,0,0,104,0,0,1219,0,0,0,0,0,0,3044,0,0,0,0,0,0,0,0,0,0,667,0,397,0,0,0,0,0,0,0,0,0,0,0,407,0,1221,0,269,229,0,1830,502,381,369,0,1629,407,710,135,424,0,0
"id_1086",276,0,20,87,0,0,397,0,0,0,867,0,0,0,0,0,0,2375,0,0,0,62,0,0,0,0,0,0,776,162,98,0,0,0,0,0,0,0,0,0,0,0,195,0,713,0,76,78,1816,0,482,123,487,0,1004,388,883,55,689,0,0
"id_1087",0,0,0,0,0,0,5,0,0,0,377,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,523,0,136,91,618,676,0,34,0,0,0,0,0,0,0,0,0
"id_1088",0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,174,0,0,0,352,182,35,0,71,202,42,0,0,34,0,0,0
"id_1089",338,234,273,343,177,0,255,287,0,188,341,0,0,0,0,0,0,915,0,0,0,21,103,239,473,128,0,0,220,0,164,0,0,0,0,0,0,0,0,0,0,0,205,0,53,0,0,0,500,492,0,115,0,0,380,774,400,0,80,278,415
"id_1090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,5,0,0,0,0,0,0,196,0,0,17,0,0,33,0,0,0
"id_1091",170,0,1007,0,0,0,329,201,0,0,372,0,0,0,0,0,0,2532,0,0,0,0,0,0,0,193,0,0,854,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,1074,0,42,353,17,0,482,1352,105,277,0,0
"id_1092",189,166,306,182,0,0,135,190,0,123,0,0,0,0,0,0,0,492,0,0,0,0,0,83,192,109,0,0,215,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,278,0,0,742,0,742,0,200,41,53,23,193
"id_1093",118,77,275,0,0,0,219,158,0,134,598,0,0,0,0,0,0,1384,0,0,0,0,0,0,124,131,0,0,575,126,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,996,0,0,470,0,1265,274,0,58,253,0,0
"id_1094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,93,39,0,34,0,32,87,49,59,0,0,0,0
"id_1095",406,223,424,0,197,0,489,80,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,83,84,0,0,0,137,79,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,533,0,0,79,0,253,53,302,0,0,0,130
"id_1096",2199,893,689,1119,3908,899,528,165,1232,1474,739,0,76,0,0,0,0,0,0,983,0,131,672,136,859,837,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,322
"id_1097",973,3215,14,548,1575,585,46,3895,0,3216,745,0,14,0,0,0,0,0,0,593,0,955,1890,7200,6721,3988,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,142,0,0,0,361,0
