Colony,Nest,Trial,Coord,X,Y
13,Circle,Aggn,REF5,1096,621
13,Circle,Aggn,REF6,1087,588
13,Circle,Aggn,REF7,1069,551
13,Circle,Pre,REF1,958.667,920.667
13,Circle,Pre,REF2,984,883.333
13,Circle,Pre,REF3,990.667,850
13,Circle,Pre,REF4,997.333,817.333
13,Circle,Pre,REF5,992.667,786
13,Circle,Pre,REF6,984,754
13,Circle,Pre,REF7,959.333,716
13,Tube,Aggn,REF1,1000,1012
13,Tube,Aggn,REF2,890,752
13,Tube,Aggn,REF3,760,860
13,Tube,Aggn,REF4,668,666
13,Tube,Aggn,REF5,878,564
13,Tube,Aggn,REF6,1070,564
13,Tube,Aggn,REF7,1294,666
13,Tube,Aggn,REF8,1196,856
13,Tube,Aggn,REF9,1012,756
13,Tube,Pre,REF1,1020,1004
13,Tube,Pre,REF2,934,742
13,Tube,Pre,REF3,768,832
13,Tube,Pre,REF4,658,630
13,Tube,Pre,REF5,892,532
13,Tube,Pre,REF6,1100,532
13,Tube,Pre,REF7,1326,634
13,Tube,Pre,REF8,1236,846
13,Tube,Pre,REF9,1034,750
17,Circle,Aggn,REF1,1260,852
17,Circle,Aggn,REF2,1310,766
17,Circle,Aggn,REF3,1332,692
17,Circle,Aggn,REF4,1340,614
17,Circle,Aggn,REF5,1334,544
17,Circle,Aggn,REF6,1314,468
17,Circle,Aggn,REF7,1268,386
17,Circle,Pre,REF1,1206,916
17,Circle,Pre,REF2,1258,832
17,Circle,Pre,REF3,1282,756
17,Circle,Pre,REF4,1284,680
17,Circle,Pre,REF5,1280,608
17,Circle,Pre,REF6,1264,528
17,Circle,Pre,REF7,1204,442
17,Tube,Aggn,REF1,964,954
17,Tube,Aggn,REF2,820,488
17,Tube,Aggn,REF3,464,640
17,Tube,Aggn,REF4,322,236
17,Tube,Aggn,REF5,738,90
17,Tube,Aggn,REF6,1134,88
17,Tube,Aggn,REF7,1548,228
17,Tube,Aggn,REF8,1416,646
